not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
	=	P04075	=	226	=	
	=	P04085	=	5154	=	
	=	P04114	=	338	=	
	=	P04141	=	1437	=	
	=	P04150	=	2908	=	
	=	P04155	=	7031	=	
	=	P04156	=	5621	=	
	=	P04179	=	6648	=	
	=	P04183	=	7083	=	
	=	P04216	=	7070	=	
	=	P04234	=	915	=	
	=	P04264	=	3848	=	
	=	P04278	=	6462	=	
	=	P04406	=	2597	=	
	=	P04439	=	3105	=	
	=	P04601	=	156110	=	
	=	P04608	=	155871	=	
	=	P04626	=	2064	=	
	=	P04628	=	7471	=	
	=	P04629	=	4914	=	
	=	P04637	=	7157	=	
	=	P04792	=	3315	=	
	=	P04818	=	7298	=	
	=	P04839	=	1536	=	
	=	P04899	=	2771	=	
	=	P05013	=	3443	=	
	=	P05014	=	3441	=	
	=	P05015	=	3449	=	
P01343	=	P05019	=	3479	=	
	=	P05062	=	229	=	
	=	P05067	=	351	=	
	=	P05089	=	383	=	
	=	P05106	=	3690	=	
	=	P05107	=	3689	=	
	=	P05109	=	6279	=	
	=	P05112	=	3565	=	
	=	P05113	=	3567	=	
	=	P05121	=	5054	=	
	=	P05129	=	5582	=	
	=	P05164	=	4353	=	
	=	P05198	=	1965	=	
	=	P05230	=	2246	=	
	=	P05231	=	3569	=	
	=	P05305	=	1906	=	
	=	P05362	=	3383	=	
	=	P05412	=	3725	=	
	=	P05423	=	661	=	
	=	P05549	=	7020	=	
	=	P05556	=	3688	=	
	=	P05771	=	5579	=	
	=	P05783	=	3875	=	
	=	P05787	=	3856	=	
	=	P05814	=	1447	=	
	=	P05997	=	1290	=	
	=	P06213	=	3643	=	
	=	P06239	=	3932	=	
	=	P06241	=	2534	=	
	=	P06396	=	2934	=	
Q5VW46	=	P06400	=	5925	=	
	=	P06400	=	5925	=	
	=	P06401	=	5241	=	
	=	P06454	=	5757	=	
	=	P06493	=	983	=	
	=	P06702	=	6280	=	
	=	P06730	=	1977	=	
	=	P06732	=	1158	=	
	=	P06733	=	2023	=	
	=	P06734	=	2208	=	
	=	P06748	=	4869	=	
	=	P06756	=	3685	=	
	=	P06850	=	1392	=	
	=	P07101	=	7054	=	
	=	P07199	=	1059	=	
	=	P07203	=	2876	=	
	=	P07204	=	7056	=	
	=	P07288	=	354	=	
	=	P07332	=	2242	=	
	=	P07333	=	1436	=	
	=	P07339	=	1509	=	
	=	P07384	=	823	=	
	=	P07385	=	1486086	=	
	=	P07476	=	3713	=	
	=	P07550	=	154	=	
	=	P07585	=	1634	=	
	=	P07766	=	916	=	
	=	P07900	=	3320	=	
	=	P07910	=	3183	=	
	=	P07942	=	3912	=	
	=	P07947	=	7525	=	
	=	P07948	=	4067	=	
	=	P07949	=	5979	=	
	=	P07996	=	7057	=	
	=	P08047	=	6667	=	
	=	P08069	=	3480	=	
	=	P08100	=	6010	=	
	=	P08107	=	3303	=	
	=	P08107	=	3304	=	
	=	P08123	=	1278	=	
	=	P08134	=	389	=	
	=	P08138	=	4804	=	
	=	P08151	=	2735	=	
	=	P08183	=	5243	=	
	=	P08195	=	6520	=	
	=	P08237	=	5213	=	
	=	P08238	=	3326	=	
	=	P08246	=	1991	=	
	=	P08253	=	4313	=	
	=	P08254	=	4314	=	
	=	P08311	=	1511	=	
	=	P08476	=	3624	=	
	=	P08493	=	4256	=	
	=	P08514	=	3674	=	
	=	P08519	=	4018	=	
	=	P08571	=	929	=	
	=	P08575	=	5788	=	
	=	P08581	=	4233	=	
	=	P08620	=	2249	=	
	=	P08631	=	3055	=	
	=	P08648	=	3678	=	
	=	P08651	=	4782	=	
	=	P08670	=	7431	=	
	=	P08700	=	3562	=	
	=	P08727	=	3880	=	
	=	P08754	=	2773	=	
	=	P08833	=	3484	=	
	=	P08887	=	3570	=	
	=	P09038	=	2247	=	
	=	P09086	=	5452	=	
	=	P09237	=	4316	=	
	=	P09341	=	2919	=	
	=	P09382	=	3956	=	
	=	P09429	=	3146	=	
	=	P09455	=	5947	=	
P29777	=	P09471	=	2775	=	
	=	P09471	=	2775	=	
	=	P09488	=	2944	=	
	=	P09496	=	1211	=	
	=	P09497	=	1212	=	
	=	P09544	=	7472	=	
	=	P09601	=	3162	=	
	=	P09603	=	1435	=	
	=	P09619	=	5159	=	
	=	P09651	=	3178	=	
	=	P09693	=	917	=	
	=	P09769	=	2268	=	
	=	P09874	=	142	=	
	=	P09884	=	5422	=	
	=	P09936	=	7345	=	
	=	P09958	=	5045	=	
	=	P0C0S5	=	3015	=	
	=	P0C2W1	=	200933	=	
	=	P10070	=	2736	=	
	=	P10071	=	2737	=	
	=	P10144	=	3002	=	
	=	P10145	=	3576	=	
	=	P10147	=	6348	=	
	=	P10242	=	4602	=	
	=	P10243	=	4603	=	
	=	P10244	=	4605	=	
	=	P10253	=	2548	=	
	=	P10275	=	367	=	
	=	P10276	=	5914	=	
	=	P10301	=	6237	=	
	=	P10412	=	3008	=	
	=	P10415	=	596	=	
	=	P10451	=	6696	=	
	=	P10523	=	6295	=	
	=	P10599	=	7295	=	
	=	P10600	=	7043	=	
	=	P10636	=	4137	=	
	=	P10644	=	5573	=	
	=	P10646	=	7035	=	
	=	P10721	=	3815	=	
	=	P10747	=	940	=	
	=	P10767	=	2251	=	
	=	P10809	=	3329	=	
	=	P10826	=	5915	=	
	=	P10827	=	7067	=	
	=	P10828	=	7068	=	
	=	P10909	=	1191	=	
	=	P10911	=	4168	=	
	=	P10912	=	2690	=	
	=	P10914	=	3659	=	
	=	P10916	=	4633	=	
	=	P10966	=	926	=	
	=	P11047	=	3915	=	
	=	P11137	=	4133	=	
	=	P11142	=	3312	=	
	=	P11161	=	1959	=	
	=	P11166	=	6513	=	
	=	P11168	=	6514	=	
	=	P11171	=	2035	=	
	=	P11215	=	3684	=	
	=	P11233	=	5898	=	
	=	P11234	=	5899	=	
	=	P11274	=	613	=	
	=	P11309	=	5292	=	
	=	P11310	=	34	=	
	=	P11362	=	2260	=	
	=	P11387	=	7150	=	
	=	P11388	=	7153	=	
	=	P11473	=	7421	=	
	=	P11488	=	2779	=	
	=	P11684	=	7356	=	
	=	P11802	=	1019	=	
	=	P11831	=	6722	=	
	=	P11912	=	973	=	
	=	P11926	=	4953	=	
	=	P12004	=	5111	=	
	=	P12107	=	1301	=	
	=	P12109	=	1291	=	
	=	P12110	=	1292	=	
	=	P12111	=	1293	=	
	=	P12272	=	5744	=	
	=	P12318	=	2212	=	
	=	P12319	=	2205	=	
	=	P12544	=	3001	=	
	=	P12643	=	650	=	
	=	P12644	=	652	=	
	=	P12755	=	6497	=	
	=	P12757	=	6498	=	
	=	P12814	=	87	=	
	=	P12830	=	999	=	
	=	P12931	=	6714	=	
	=	P12956	=	2547	=	
	=	P13010	=	7520	=	
	=	P13056	=	7181	=	
	=	P13196	=	211	=	
	=	P13236	=	388372	=	
	=	P13236	=	6351	=	
	=	P13236	=	9560	=	
	=	P13349	=	4617	=	
	=	P13385	=	6997	=	
	=	P13423	=	1158723	=	
	=	P13423	=	2820165	=	
	=	P13423	=	3361714	=	
	=	P13498	=	1535	=	
	=	P13500	=	6347	=	
	=	P13501	=	6352	=	
P13592	=	P13591	=	4684	=	
	=	P13591	=	4684	=	
	=	P13598	=	3384	=	
	=	P13611	=	1462	=	
	=	P13612	=	3676	=	
P22932	=	P13631	=	5916	=	
	=	P13631	=	5916	=	
	=	P13639	=	1938	=	
	=	P13647	=	3852	=	
	=	P13693	=	7178	=	
	=	P13725	=	5008	=	
	=	P13807	=	2997	=	
	=	P13942	=	1302	=	
	=	P14138	=	1908	=	
	=	P14210	=	3082	=	
	=	P14222	=	5551	=	
	=	P14317	=	3059	=	
	=	P14543	=	4811	=	
	=	P14555	=	5320	=	
	=	P14598	=	653361	=	
	=	P14618	=	5315	=	
	=	P14625	=	7184	=	
	=	P14635	=	891	=	
	=	P14672	=	6517	=	
	=	P14778	=	3554	=	
	=	P14780	=	4318	=	
	=	P14784	=	3560	=	
	=	P14859	=	5451	=	
	=	P14921	=	2113	=	
